
     Program DYNMAT v.6.4 starts on  7Jan2021 at 20:25:31 

     This program is part of the open-source Quantum ESPRESSO suite
     for quantum simulation of materials; please cite
         "P. Giannozzi et al., J. Phys.:Condens. Matter 21 395502 (2009);
         "P. Giannozzi et al., J. Phys.:Condens. Matter 29 465901 (2017);
          URL http://www.quantum-espresso.org", 
     in publications or presentations arising from this work. More details at
     http://www.quantum-espresso.org/quote

     Parallel version (MPI), running on    16 processors

     MPI processes distributed on     1 nodes
     R & G space division:  proc/nbgrp/npool/nimage =      16

     Reading Dynamical Matrix from file AlPO3_3.dynG
     ...Force constants read
     ...epsilon and Z* read
     ...Raman cross sections read
     Acoustic Sum Rule: || Z*(ASR) - Z*(orig)|| =    7.217650E-02
     Acoustic Sum Rule: ||dyn(ASR) - dyn(orig)||=    1.195549E-01
     A direction for q was not specified:TO-LO splitting will be absent

     Polarizability (A^3 units)
     multiply by 0.667384 for Clausius-Mossotti correction
       301.277472   -0.000700   -0.000700
        -0.000700  301.277472   -0.000700
        -0.000700   -0.000700  301.277472

     IR activities are in (D/A)^2/amu units
     Raman activities are in A^4/amu units
     multiply Raman by 0.445401 for Clausius-Mossotti correction

# mode   [cm-1]    [THz]      IR          Raman   depol.fact
    1   -409.18  -12.2670    0.1582         1.5881    0.7500
    2   -409.18  -12.2670    0.1582         1.5881    0.7500
    3   -243.28   -7.2934    0.0060         0.2575    0.7500
    4   -243.28   -7.2934    0.0060         0.2575    0.7500
    5   -234.75   -7.0375    0.0447         1.3930    0.0356
    6   -226.43   -6.7881    0.0115         0.1316    0.7500
    7   -226.43   -6.7881    0.0115         0.1316    0.7500
    8   -220.43   -6.6082    0.1041         0.3059    0.7500
    9   -220.43   -6.6082    0.1041         0.3059    0.7500
   10   -219.17   -6.5707    0.0514         0.0955    0.7500
   11   -219.17   -6.5707    0.0514         0.0955    0.7500
   12   -218.44   -6.5485    0.2243         0.1627    0.0291
   13   -214.82   -6.4400    0.0342         0.0779    0.4294
   14   -213.82   -6.4103    0.4058         0.4310    0.7500
   15   -213.82   -6.4103    0.4058         0.4310    0.7500
   16   -208.74   -6.2578    0.0261         0.1402    0.7500
   17   -208.74   -6.2578    0.0261         0.1402    0.7500
   18   -205.08   -6.1480    0.0105         0.0341    0.7500
   19   -205.08   -6.1480    0.0105         0.0341    0.7500
   20   -204.32   -6.1254    0.0066         0.0716    0.0459
   21   -201.39   -6.0375    0.0101         0.1246    0.7500
   22   -201.39   -6.0375    0.0101         0.1246    0.7500
   23   -194.54   -5.8322    0.0070         0.0957    0.7500
   24   -194.54   -5.8322    0.0070         0.0957    0.7500
   25   -189.43   -5.6789    0.0607         0.2691    0.7500
   26   -189.43   -5.6789    0.0607         0.2691    0.7500
   27   -188.03   -5.6371    0.1123         0.6630    0.3322
   28   -185.77   -5.5692    0.0186         0.0134    0.7500
   29   -185.77   -5.5692    0.0186         0.0134    0.7500
   30   -183.66   -5.5060    0.1453         0.0161    0.2147
   31   -177.84   -5.3316    0.0110         0.0280    0.0760
   32   -173.60   -5.2043    0.0608         0.1809    0.7500
   33   -173.60   -5.2043    0.0608         0.1809    0.7500
   34   -173.48   -5.2007    0.0012         0.2840    0.4562
   35   -171.51   -5.1417    0.0454         0.0256    0.7500
   36   -171.51   -5.1417    0.0454         0.0256    0.7500
   37   -167.06   -5.0082    0.0002         0.0363    0.3562
   38   -166.57   -4.9935    0.0571         0.1426    0.7500
   39   -166.57   -4.9935    0.0571         0.1426    0.7500
   40   -162.74   -4.8787    0.3570         0.3791    0.7500
   41   -162.74   -4.8787    0.3570         0.3791    0.7500
   42   -157.66   -4.7265    0.0617         0.2598    0.7500
   43   -157.66   -4.7265    0.0617         0.2598    0.7500
   44   -155.54   -4.6630    0.0095         0.0250    0.6136
   45   -150.45   -4.5102    0.0854         0.0050    0.7500
   46   -150.45   -4.5102    0.0854         0.0050    0.7500
   47   -147.87   -4.4331    0.0152         0.1089    0.0017
   48   -146.91   -4.4044    0.1583         0.2173    0.7500
   49   -146.91   -4.4044    0.1583         0.2173    0.7500
   50   -142.28   -4.2654    0.0194         1.2296    0.0466
   51   -138.69   -4.1579    0.0033         1.1771    0.0148
   52   -138.62   -4.1558    0.0982         0.0692    0.7500
   53   -138.62   -4.1558    0.0982         0.0692    0.7500
   54   -133.24   -3.9944    0.0457         0.3141    0.7500
   55   -133.24   -3.9944    0.0457         0.3141    0.7500
   56   -133.20   -3.9931    0.0289         0.4451    0.4128
   57   -132.24   -3.9644    0.0592         0.2360    0.7500
   58   -132.24   -3.9644    0.0592         0.2360    0.7500
   59   -126.74   -3.7994    0.0367         2.5767    0.0115
   60   -126.64   -3.7965    0.0095         0.3453    0.7500
   61   -126.64   -3.7965    0.0095         0.3453    0.7500
   62   -122.65   -3.6768    0.1292         0.0827    0.7500
   63   -122.65   -3.6768    0.1292         0.0827    0.7500
   64   -121.72   -3.6490    0.1247         0.2573    0.6207
   65   -118.78   -3.5611    0.1006         0.2712    0.7500
   66   -118.78   -3.5611    0.1006         0.2712    0.7500
   67   -116.68   -3.4979    0.0000         0.2064    0.1075
   68   -116.22   -3.4842    0.0004         0.1079    0.7500
   69   -116.22   -3.4842    0.0004         0.1079    0.7500
   70   -107.75   -3.2301    0.0169         0.0619    0.7500
   71   -107.75   -3.2301    0.0169         0.0619    0.7500
   72   -106.08   -3.1802    0.0949         0.0238    0.7462
   73   -103.47   -3.1019    0.0092         0.1498    0.0009
   74   -103.32   -3.0974    0.0234         0.1473    0.7500
   75   -103.32   -3.0974    0.0234         0.1473    0.7500
   76    -97.86   -2.9338    0.0129         0.0402    0.0424
   77    -97.26   -2.9158    0.0042         1.0944    0.7500
   78    -97.26   -2.9158    0.0042         1.0944    0.7500
   79    -92.29   -2.7668    0.0311         1.1355    0.7500
   80    -92.29   -2.7668    0.0311         1.1355    0.7500
   81    -90.95   -2.7266    0.1684         0.1317    0.7118
   82    -89.05   -2.6697    0.0451         0.1565    0.7500
   83    -89.05   -2.6697    0.0451         0.1565    0.7500
   84    -86.86   -2.6041    0.1463         0.2639    0.7500
   85    -86.86   -2.6041    0.1463         0.2639    0.7500
   86    -86.57   -2.5954    0.0161         0.0228    0.2811
