
     Program DYNMAT v.6.7MaX starts on 21Apr2021 at 21: 1: 8 

     This program is part of the open-source Quantum ESPRESSO suite
     for quantum simulation of materials; please cite
         "P. Giannozzi et al., J. Phys.:Condens. Matter 21 395502 (2009);
         "P. Giannozzi et al., J. Phys.:Condens. Matter 29 465901 (2017);
          URL http://www.quantum-espresso.org", 
     in publications or presentations arising from this work. More details at
     http://www.quantum-espresso.org/quote

     Parallel version (MPI), running on    14 processors

     MPI processes distributed on     1 nodes
     R & G space division:  proc/nbgrp/npool/nimage =      14

     Reading Dynamical Matrix from file NaAlP2O7.dynG
     ...Force constants read
     ...epsilon and Z* read
     ...Raman cross sections read
     Acoustic Sum Rule: || Z*(ASR) - Z*(orig)|| =    1.564865E-01
     Acoustic Sum Rule: ||dyn(ASR) - dyn(orig)||=    3.381682E-02
     A direction for q was not specified:TO-LO splitting will be absent

     Polarizability (A^3 units)
     multiply by 0.630937 for Clausius-Mossotti correction
        66.648511    0.000000    0.217206
         0.000000   67.548159    0.000000
         0.217206    0.000000   67.428961

     IR activities are in (D/A)^2/amu units
     Raman activities are in A^4/amu units
     multiply Raman by 0.398081 for Clausius-Mossotti correction

# mode   [cm-1]    [THz]      IR          Raman   depol.fact
    1    -24.29   -0.7282    0.0000         0.3734    0.0598
    2    -21.01   -0.6299    1.9692         0.0000    0.0644
    3     -0.00   -0.0000    0.0000         0.0000    0.0657
    4     -0.00   -0.0000    0.0000         0.0000    0.0744
    5      0.00    0.0000    0.0000         0.0000    0.0733
    6     52.86    1.5847    1.3344         0.0000    0.6819
    7     55.62    1.6676    0.0000         0.2028    0.7500
    8     70.60    2.1164    3.3587         0.0000    0.7143
    9     71.73    2.1504    0.0000         0.0818    0.7500
   10     72.14    2.1627    0.0000         0.6966    0.6270
   11     73.68    2.2088    2.1115         0.0000    0.7270
   12     88.09    2.6408    0.0000         0.3977    0.7500
   13     92.73    2.7801    0.0000         0.5437    0.1624
   14    106.70    3.1989    0.3088         0.0000    0.5772
   15    123.81    3.7117    0.0000         0.0623    0.7500
   16    134.33    4.0270    0.0000         0.1331    0.7500
   17    136.61    4.0954    1.2720         0.0000    0.6736
   18    138.95    4.1656    0.0000         0.2068    0.7056
   19    144.86    4.3427    0.0000         0.5564    0.0025
   20    146.66    4.3966    0.5851         0.0000    0.0054
   21    150.87    4.5229    0.1992         0.0000    0.3360
   22    157.46    4.7206    2.3075         0.0000    0.1169
   23    157.90    4.7338    0.0000         0.9203    0.1055
   24    169.63    5.0854    0.0000         4.7661    0.1311
   25    173.58    5.2039    6.0798         0.0000    0.4566
   26    174.96    5.2452    0.0000         1.4549    0.7500
   27    179.15    5.3707    0.0000         0.8796    0.6831
   28    182.63    5.4751    0.0000         0.3093    0.7500
   29    184.47    5.5304    2.3450         0.0000    0.7402
   30    188.19    5.6417    4.3757         0.0000    0.6350
   31    191.45    5.7395    0.2924         0.0000    0.2824
   32    200.24    6.0029    0.0000         0.9806    0.7500
   33    208.62    6.2541    0.0000         1.7373    0.4050
   34    213.81    6.4098    0.0535         0.0000    0.4743
   35    218.23    6.5424    0.0000         0.6641    0.7500
   36    223.28    6.6936    0.0000         7.5418    0.1756
   37    228.71    6.8564    0.0000         0.0962    0.7500
   38    244.88    7.3414    1.0115         0.0000    0.3746
   39    245.35    7.3555    1.2207         0.0000    0.7003
   40    255.69    7.6655    0.0000         2.6417    0.2268
   41    256.38    7.6862    2.4259         0.0000    0.0619
   42    258.70    7.7557    0.0000         8.3938    0.0703
   43    268.27    8.0425    0.0000         0.3247    0.7500
   44    270.89    8.1210    2.3730         0.0000    0.1496
   45    276.43    8.2870    0.9773         0.0000    0.7236
   46    281.38    8.4357    0.0000         0.2657    0.7500
   47    282.86    8.4798    3.1997         0.0000    0.7493
   48    285.17    8.5491    0.6207         0.0000    0.7494
   49    288.89    8.6606    9.9674         0.0000    0.4669
   50    309.72    9.2851    8.8749         0.0000    0.1093
   51    310.69    9.3141    0.0000         2.8941    0.7500
   52    317.56    9.5202    0.0000        23.0260    0.0498
   53    323.97    9.7123    0.0000         0.1060    0.7500
   54    326.36    9.7841    2.3748         0.0000    0.0437
   55    344.56   10.3297    0.5467         0.0000    0.7255
   56    346.03   10.3738    0.0000         9.8792    0.7471
   57    346.27   10.3808    0.0000         0.6141    0.7500
   58    349.04   10.4638   19.9886         0.0000    0.3915
   59    349.35   10.4733    4.1267         0.0000    0.3071
   60    353.88   10.6090    6.7066         0.0000    0.5354
   61    359.37   10.7737    0.0000         5.3472    0.7034
   62    367.19   11.0080    0.0000         1.1660    0.2227
   63    376.69   11.2927   42.6842         0.0000    0.0337
   64    388.81   11.6562    0.0000        42.6165    0.0268
   65    391.76   11.7446    9.9519         0.0000    0.7142
   66    392.41   11.7642    9.3073         0.0000    0.2222
   67    400.97   12.0209   16.3995         0.0000    0.6524
   68    401.79   12.0454    0.0000         0.2632    0.7500
   69    409.09   12.2641    0.0000         5.7487    0.7500
   70    433.43   12.9939    0.0000        12.6493    0.6865
   71    434.12   13.0146    0.0000         2.4541    0.7500
   72    449.89   13.4874   11.5769         0.0000    0.4742
   73    451.87   13.5467   20.7238         0.0000    0.2356
   74    457.24   13.7076    0.0000        19.0882    0.2424
   75    467.98   14.0298    0.0000         6.5017    0.7500
   76    471.48   14.1347    0.6904         0.0000    0.5758
   77    480.33   14.3998    0.4361         0.0000    0.3646
   78    481.82   14.4447    1.1768         0.0000    0.3574
   79    486.35   14.5806    0.0000        17.3082    0.1871
   80    487.72   14.6214    0.0000         7.5452    0.7500
   81    509.31   15.2688    0.0622         0.0000    0.7346
   82    512.93   15.3773   39.3875         0.0000    0.5387
   83    518.45   15.5429    0.0000         0.1020    0.7500
   84    518.92   15.5569    0.0000        25.9612    0.6547
   85    524.29   15.7179    0.0000         9.6106    0.7500
   86    545.14   16.3430    6.7880         0.0000    0.1518
   87    546.61   16.3871    0.0000        45.5417    0.0281
   88    551.88   16.5449    0.3616         0.0000    0.2282
   89    553.82   16.6030    2.7187         0.0000    0.0060
   90    557.94   16.7266    1.5174         0.0000    0.0468
   91    563.60   16.8963    0.0000        41.7001    0.0850
   92    564.37   16.9194    0.0000         1.3684    0.7500
   93    583.52   17.4935    0.0000        31.2722    0.0172
   94    591.24   17.7250    0.7020         0.0000    0.0369
   95    603.12   18.0810    0.0000        18.3429    0.7500
   96    604.90   18.1345    1.7340         0.0000    0.7389
   97    620.75   18.6095    0.0070         0.0000    0.5785
   98    629.16   18.8617   22.0180         0.0000    0.7149
   99    633.11   18.9800    0.0000         2.3889    0.7500
  100    636.18   19.0721    0.0000       110.4717    0.0363
  101    682.48   20.4602    0.0000       196.7647    0.0185
  102    683.50   20.4907   23.0186         0.0000    0.0191
  103    688.23   20.6326    0.0000         1.4578    0.7500
  104    689.79   20.6795   19.2524         0.0000    0.7413
  105    691.37   20.7267    2.2787         0.0000    0.0739
  106    698.61   20.9439   30.1893         0.0000    0.2140
  107    727.30   21.8039    0.0000        12.1740    0.4999
  108    730.95   21.9134    0.0000         1.9696    0.7500
  109    863.26   25.8800   56.8686         0.0000    0.1618
  110    873.63   26.1908   52.9108         0.0000    0.6526
  111    878.05   26.3233    0.0000         6.3786    0.5587
  112    888.04   26.6229    0.0000        19.1851    0.7500
  113    923.44   27.6840    9.1819         0.0000    0.0765
  114    923.74   27.6931    0.0000       116.2201    0.0766
  115    942.35   28.2508   39.9637         0.0000    0.1094
  116    944.57   28.3175    0.0000        12.6076    0.7500
  117    970.63   29.0989    0.0000       101.3418    0.0145
  118    977.56   29.3064    6.1243         0.0000    0.4013
  119    986.76   29.5823   15.7955         0.0000    0.7493
  120    991.83   29.7343    0.0000        44.9288    0.7500
  121   1074.66   32.2176    0.0000         3.3657    0.7500
  122   1088.10   32.6205    0.0000       179.3275    0.0920
  123   1088.46   32.6313    1.4692         0.0000    0.0918
  124   1105.80   33.1511   73.5035         0.0000    0.2897
  125   1128.53   33.8325    0.0000        97.3432    0.1968
  126   1144.27   34.3044   29.7812         0.0000    0.2256
  127   1155.10   34.6290    0.0000         1.6583    0.7500
  128   1191.37   35.7162    7.2910         0.0000    0.1353
  129   1238.40   37.1262    0.0000       100.5277    0.0340
  130   1249.44   37.4571   49.1540         0.0000    0.0422
  131   1281.14   38.4076   22.1435         0.0000    0.7500
  132   1288.51   38.6286    0.0000        16.1482    0.7500

     DYNMAT       :     26.84s CPU     27.04s WALL


   This run was terminated on:  21: 1:35  21Apr2021            

=------------------------------------------------------------------------------=
   JOB DONE.
=------------------------------------------------------------------------------=
