cm-1	IR	Raman -nagłuwek
-51.36	0.0002	0.0002
0	0	0.0001
0	0	0.008
0	0	0.0079
57.69	0.0008	0.2625
58.83	0.0003	0.1884
75.67	0.0142	0.3157
77.67	0.0083	0.2558
128.62	0.2881	0.0002
140.6	0.2944	2.6692
142.55	0.6424	1.2103
142.66	0.9258	0.0543
164.1	0.2105	0.4611
164.54	0.1726	0.1947
172.33	0.0085	8.9251
246.97	2.8302	0.0001
279.89	0.0044	0.1931
280.32	0.0023	0.1847
324.59	0.0001	0.0374
359.25	4.1222	1.4289
359.31	4.2352	1.4207
389	1.2443	1.8451
389.73	1.1983	1.8516
401.73	0	7.825
427.9	9.4513	0.001
429.07	3.1402	0.2865
429.45	3.185	0.2857
432.14	0.0003	40.0965
451.4	12.4222	2.0207
451.85	12.4081	2.0121
468.62	12.9898	0.0001
540.25	0.0017	0.8391
540.47	0.0022	0.8371
636.4	0.4417	0.4427
636.49	0.4336	0.4335
687.74	5.3202	0.0003
690.31	6.2317	0.3129
690.35	6.2185	0.3156
706.55	0.0135	0
719.91	0.0001	0.2331
740.49	0.4546	0.5523
740.5	0.4593	0.5507
1086.75	0.9892	0.0073
1089.2	55.7831	5.3895
1089.38	51.464	5.7309
1092.29	78.7807	0.0019
1093.16	0.818	3.4686
1095.16	18.7468	2.2729
1095.37	16.5056	2.5068
1102.66	0.0111	70.9074
1121.69	4.0357	1.1556
1121.79	3.9268	1.1316
1217.39	0.0328	8.0801
1217.54	0.0334	8.0733
